Geography,Date,Democrat,Republican,Pollster,Sample Size
Pennsylvania,11/3/2024,46%,47%,Trafalgar Group,1089
Pennsylvania,11/3/2024,50%,49%,Patriot Polling,903
Pennsylvania,11/2/2024,48%,47%,InsiderAdvantage,800
Pennsylvania,11/2/2024,50%,45%,The New York Times/Siena College,1527
Pennsylvania,10/31/2024,46%,43%,Morning Consult,1538
Pennsylvania,10/30/2024,49%,46%,Muhlenberg College Institute of Public Opinion,460
Nevada,11/3/2024,51%,48%,Patriot Polling,792
Nevada,11/2/2024,52%,43%,The New York Times/Siena College,1010
Arizona,11/3/2024,51%,48%,Patriot Polling,801
Arizona,11/2/2024,49%,47%,InsiderAdvantage,800
Arizona,11/2/2024,50%,45%,The New York Times/Siena College,1025
Arizona,10/30/2024,50%,42%,Morning Consult,666
Wisconsin,11/3/2024,51%,49%,Patriot Polling,858
Wisconsin,11/2/2024,48%,48%,InsiderAdvantage,800
Wisconsin,11/2/2024,48%,46%,The New York Times/Siena College,998
Wisconsin,11/1/2024,49%,41%,Morning Consult,1112
Wisconsin,10/29/2024,48%,50%,Tarrance Group,620
Rhode Island,11/2/2024,54%,40%,University of New Hampshire Survey Center,708
Vermont,11/2/2024,64%,27%,University of New Hampshire Survey Center,1167
Massachusetts,11/2/2024,60%,37%,University of New Hampshire Survey Center,744
Maine,11/2/2024,50%,35%,University of New Hampshire Survey Center,1485
Ohio,11/1/2024,46%,47%,Morning Consult,1254
Florida,11/1/2024,45%,48%,Morning Consult,2022
Texas,10/31/2024,44%,47%,Morning Consult,2120
Maryland,10/31/2024,49%,42%,Morning Consult,468
Michigan,11/2/2024,49%,47%,AtlasIntel,1198
Pennsylvania,11/2/2024,49%,47%,AtlasIntel,2049
Wisconsin,11/2/2024,49%,48%,AtlasIntel,728
Arizona,11/2/2024,47%,49%,AtlasIntel,967
Arizona,10/28/2024,50%,46%,Mitchell Research & Communications,610
Florida,11/1/2024,45%,53%,Stetson University Center for Public Opinion Research,452
Ohio,10/30/2024,48%,46%,Miami University Department of Political Science,857
Maryland,10/30/2024,48%,40%,Chism Strategies,510
Minnesota,10/30/2024,52%,35%,Chism Strategies,534
Virginia,10/30/2024,46%,45%,Chism Strategies,520
Wyoming,10/28/2024,26%,73%,Cygnal,600 
Massachusetts,11/1/2024,55%,33%,MassINC Polling Group,582
Arizona,10/31/2024,48%,48%,OnMessage,800
Arizona,10/31/2024,49%,45%,YouGov,856
Arizona,10/31/2024,54%,46%,ActiVote,400
Arizona,10/30/2024,50%,45%,Data for Progress,1079
Wisconsin,10/31/2024,48%,47%,OnMessage,800
Wisconsin,10/31/2024,50%,45%,YouGov,863
Wisconsin,10/31/2024,54%,46%,ActiVote,400
Wisconsin,10/30/2024,51%,48%,Marist College,1330
Michigan,10/31/2024,47%,46%,OnMessage,800
Michigan,10/31/2024,51%,42%,YouGov,942
